,Player,Age,Club_Left,League_Left,Club_Joined,League_Joined,Transfer_Fee,Transfer_Window,Performance_Year
0,Luís Figo,27,FC Barcelona,LaLiga,Real Madrid,LaLiga,60000000,2000,1999
1,Hernán Crespo,25,AC Parma,Serie A,Lazio Rom,Serie A,56810000,2000,1999
2,Gabriel Batistuta,31,AC Florenz,Serie A,AS Rom,Serie A,36150000,2000,1999
3,Nicolas Anelka,21,Real Madrid,LaLiga,FC Paris Saint-Germain,Division 1,34500000,2000,1999
4,Rio Ferdinand,22,West Ham United,Premier League,Leeds United,Premier League,26000000,2000,1999
5,Savo Milosevic,26,Real Saragossa ,LaLiga,AC Parma,Serie A,25000000,2000,1999
6,Flávio Conceição,26,Deportivo La Coruña,LaLiga,Real Madrid,LaLiga,25000000,2000,1999
7,David Trezeguet,22,AS Monaco,Division 1,Juventus Turin,Serie A,23240000,2000,1999
8,Matías Almeyda,26,Lazio Rom,Serie A,AC Parma,Serie A,23000000,2000,1999
9,Claudio López,25,FC Valencia,LaLiga,Lazio Rom,Serie A,23000000,2000,1999
10,Jimmy Floyd Hasselbaink,28,Atlético Madrid,2ª División,FC Chelsea,Premier League,22500000,2000,1999
11,Gerard López,21,FC Valencia,LaLiga,FC Barcelona,LaLiga,21600000,2000,1999
12,Lucas Severino,21,Clube Atlético Paranaense,Série A,FC Stade Rennes,Division 1,21300000,2000,1999
13,Pablo Aimar,21,CA River Plate,Clausura,FC Valencia,LaLiga,21250000,2000,1999
14,Walter Samuel,22,CA Boca Juniors,Clausura,AS Rom,Serie A,20800000,2000,1999
15,Shabani Nonda,23,FC Stade Rennes,Division 1,AS Monaco,Division 1,20000000,2000,1999
16,Vampeta,26,Inter Mailand,Serie A,FC Paris Saint-Germain,Division 1,20000000,2000,1999
17,Robbie Keane,20,Coventry City,Premier League,Inter Mailand,Serie A,19500000,2000,1999
18,Jonathan Zebina,21,Cagliari Calcio,Serie B,AS Rom,Serie A,18400000,2000,1999
19,Emerson,24,Bayer 04 Leverkusen,Bundesliga,AS Rom,Serie A,18000000,2000,1999
20,Tore André Flo,27,FC Chelsea,Premier League,Glasgow Rangers,Premiership,18000000,2000,1999
21,Sergiy Rebrov,26,Dynamo Kyiv,Vyshcha Liga,Tottenham Hotspur,Premier League,18000000,2000,1999
22,Robbie Keane,20,Inter Mailand,Serie A,Leeds United,Premier League,18000000,2000,1999
23,Angelo Peruzzi,30,Inter Mailand,Serie A,Lazio Rom,Serie A,17900000,2000,1999
24,Diego Tristán,24,RCD Mallorca,LaLiga,Deportivo La Coruña,LaLiga,17750000,2000,1999
25,Fernando Redondo,31,Real Madrid,LaLiga,AC Milan,Serie A,17500000,2000,1999
26,Sylvain Wiltord,26,FC Girondins Bordeaux,Division 1,FC Arsenal,Premier League,17500000,2000,1999
27,Jardel,26,FC Porto,Primeira Liga,Galatasaray,Süper Lig,17050000,2000,1999
28,Sérgio Conceição,25,Lazio Rom,Serie A,AC Parma,Serie A,17000000,2000,1999
29,Nuno Gomes,23,Benfica Lissabon,Primeira Liga,AC Florenz,Serie A,17000000,2000,1999
30,Alfonso,27,Real Betis Sevilla,2ª División,FC Barcelona,LaLiga,16500000,2000,1999
31,Javier Farinós,22,FC Valencia,LaLiga,Inter Mailand,Serie A,16250000,2000,1999
32,Kakhaber Kaladze,22,Dynamo Kyiv,Vyshcha Liga,AC Milan,Serie A,16000000,2000,1999
33,Vampeta,26,Corinthians São Paulo,Série A,Inter Mailand,Serie A,15500000,2000,1999
34,Francis Jeffers,20,FC Everton,Premier League,FC Arsenal,Premier League,15300000,2000,1999
35,Emmanuel Petit,29,FC Arsenal,Premier League,FC Barcelona,LaLiga,15000000,2000,1999
36,Tomas Rosicky,20,AC Sparta Prag,Gambrinus Liga,Borussia Dortmund,Bundesliga,14500000,2000,1999
37,Catanha,28,FC Málaga,LaLiga,Celta Vigo,LaLiga,14420000,2000,1999
38,Juan Pablo Ángel,25,CA River Plate,Clausura,Aston Villa,Premier League,14400000,2000,1999
39,Mateja Kežman,21,FK Partizan Belgrad,Serbien,PSV Eindhoven,KPN Eredivisie,14000000,2000,1999
40,Claude Makélélé,27,Celta Vigo,LaLiga,Real Madrid,LaLiga,14000000,2000,1999
