,Player,Nation,Main_Pos,Sec_Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G+A,G+A,G-PK,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Gls,Ast,Ast,G+A,G+A,G-PK,G-PK,G+A-PK,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Total Tackels,TklW,Def 3rd,Mid 3rd,Att 3rd,Dribblers_Tackeld,Dribblers_Tackel_Att,Dribblers_Tackel%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches,Touches_Def_Pen_Area,Touches_Def_3rd_Area,Touches_Mid_3rd_Area,Touches_Att_3rd_Area,Touches_Att_Pen_Area,Live_Touches_in_Game,Dribbling_Att,Dribbling_Succ,Dribbling_Succ%,Tackeld_Dribbling,Tackeld_Dribbling%,Total_Carry_Distance,Total_Progressive_Carry_Distance,Total_Carries_in_1/3,Total_Carries_in_Penalty_Area,Miscontrols_Carries,Dispossed_Carries,Passes_Received,Progressive_Passes_Received,Shot_Creating_Action,Shot_Creating_Action_90,Live_Passes_lead_Shot_Att,Dead_Passes_lead_Shot_Att,Shot_Att_after_Dribbling,Shot_lead_to_Shot_Att,Foul_drawn_lead_Shot_Att,Def_Action_lead_Shot_Att,GCA,GCA90,Live_Pass_lead_Goal,Dead_Pass_lead_Goal,Goal_after_Dribbling,Shot_lead_Goal,Foul_drawn_lead_Goal,Def_Action_lead_Goal,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Save%,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Att,Cmp%,Att (GK),Thr,Launch%,Launch%,AvgLen,AvgLen,Att,Att,Launch%,Launch%,AvgLen,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,Year
0,Abdoulie Ceesay,GM,FW,FW,St. Pauli,20.0,2004.0,7,0,60,0.7,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1,0,0.0,0.0,0.0,0.0,0,0,8,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,3,3,1,1,1,2,3,66.7,1,2,0,2,0,3,1,0,8,14,57.1,70,2,7,10,70.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,0,26,0,2,13,11,2,26,0,0,0,0,0,32,3,0,0,4,3,18,8,1,1.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,BundesLiga,2025
1,Adam Aznou,MA,DF,DF,Bayern Munich,18.0,2006.0,2,0,17,0.2,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,17,76.5,178,44,9,10,90.0,4,6,66.7,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,18,1,1,7,11,0,18,0,0,0,0,0,40,16,2,0,0,0,14,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,BundesLiga,2025
2,Adam Dźwigała,PL,DF,MF,St. Pauli,28.0,1995.0,16,2,373,4.1,0,0.00,0,0.00,0,0.00,0,0.00,0,0,2,1,0.4,0.4,0.0,0.4,1,14,4,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,20,10,13,6,1,11,16,68.8,5,6,1,5,4,24,28,0,173,212,81.6,2935,1208,71,78,91.0,85,93,91.4,12,30,40.0,0,0.0,0.1,0.0,0,11,1,0,14,280,30,106,138,36,6,280,2,1,50.0,1,50.0,363,164,0,0,2,2,152,4,5,1.21,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,BundesLiga,2025
3,Adam Hložek,CZ,FW,MF,Hoffenheim,22.0,2002.0,27,22,1871,20.8,8,0.38,4,0.19,12,0.58,8,0.38,0,0,2,0,5.6,5.6,3.5,9.1,54,68,102,8,0.38,4,0.19,12,0.58,8,0.38,0.58,0.38,0.19,0.58,0.38,0.58,0.27,0.17,0.44,0.27,0.44,22,10,7,8,7,11,20,55.0,9,13,1,12,4,26,20,0,348,508,68.5,5351,1301,177,240,73.8,126,168,75.0,23,42,54.8,4,3.5,3.2,+0.5,20,37,19,4,68,761,20,73,334,367,114,761,64,33,51.6,27,42.2,2621,1336,31,19,51,37,552,102,57,2.74,41,1,7,4,4,0,10,0.48,6,1,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,BundesLiga,2025
4,Adrian Beck,DE,MF,FW,Heidenheim,27.0,1997.0,32,18,1598,17.8,4,0.23,1,0.06,5,0.28,4,0.23,0,0,1,0,3.3,3.3,1.2,4.5,37,69,83,4,0.23,1,0.06,5,0.28,4,0.23,0.28,0.23,0.06,0.28,0.23,0.28,0.18,0.07,0.25,0.18,0.25,36,17,18,12,6,12,35,34.3,23,31,2,29,9,45,17,0,581,725,80.1,9901,2258,274,329,83.3,233,267,87.3,55,76,72.4,1,1.2,1.9,-0.2,21,53,18,4,69,962,23,184,502,296,53,962,75,40,53.3,30,40.0,3077,1192,17,11,42,26,584,83,56,3.16,37,4,10,4,1,0,4,0.23,2,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,BundesLiga,2025
5,Alassane Pléa,FR,MF,FW,Gladbach,31.0,1993.0,30,24,1902,21.1,11,0.52,4,0.19,15,0.71,10,0.47,1,1,3,0,7.4,6.6,3.1,9.8,51,116,141,11,0.52,4,0.19,15,0.71,10,0.47,0.66,0.52,0.19,0.71,0.47,0.66,0.35,0.15,0.50,0.31,0.46,7,3,0,2,5,4,13,30.8,9,11,0,11,2,9,7,1,573,795,72.1,9118,3029,309,372,83.1,190,256,74.2,48,76,63.2,4,3.1,3.3,+0.9,25,80,35,8,116,979,3,81,494,412,77,978,43,17,39.5,23,53.5,3068,1698,31,14,40,22,773,141,72,3.41,58,2,5,1,5,1,14,0.66,10,1,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,BundesLiga,2025
6,Aleix García,ES,MF,MF,Leverkusen,27.0,1997.0,28,17,1455,16.2,3,0.19,4,0.25,7,0.43,3,0.19,0,0,3,0,1.0,1.0,4.9,5.9,27,120,47,3,0.19,4,0.25,7,0.43,3,0.19,0.43,0.19,0.25,0.43,0.19,0.43,0.06,0.30,0.36,0.06,0.36,13,7,4,6,3,7,15,46.7,8,12,2,10,11,24,24,1,1212,1390,87.2,21055,6014,640,679,94.3,424,472,89.8,129,196,65.8,4,4.9,3.8,-0.9,32,135,12,4,120,1503,45,225,831,452,11,1503,5,4,80.0,1,20.0,3463,1633,34,1,10,5,1169,47,60,3.71,39,16,0,4,0,1,10,0.62,5,3,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,BundesLiga,2025
7,Aleksandar Pavlovic,DE,MF,MF,Bayern Munich,20.0,2004.0,21,18,1451,16.1,1,0.06,0,0.00,1,0.06,1,0.06,0,0,2,0,0.6,0.6,0.2,0.8,15,128,33,1,0.06,0,0.00,1,0.06,1,0.06,0.06,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.05,0.03,0.05,38,21,13,15,10,22,32,68.8,10,18,3,15,5,43,14,0,1437,1541,93.3,22476,5374,793,821,96.6,547,575,95.1,76,104,73.1,0,0.2,1.9,-0.2,7,169,13,1,128,1648,17,194,1100,363,11,1648,5,5,100.0,0,0.0,4360,1984,43,3,13,2,1401,33,30,1.86,29,0,0,1,0,0,3,0.19,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,BundesLiga,2025
8,Alexander Bernhardsson,SE,FW,MF,Holstein Kiel,25.0,1998.0,19,15,1263,14.0,7,0.50,2,0.14,9,0.64,7,0.50,0,0,3,0,4.1,4.1,1.3,5.5,25,33,72,7,0.50,2,0.14,9,0.64,7,0.50,0.64,0.50,0.14,0.64,0.50,0.64,0.29,0.10,0.39,0.29,0.39,29,15,9,9,11,20,31,64.5,11,14,0,14,5,34,25,0,193,319,60.5,3164,1076,93,131,71.0,74,114,64.9,16,44,36.4,2,1.3,1.2,+0.7,17,16,10,4,33,520,23,109,223,202,41,520,53,22,41.5,26,49.1,1650,839,19,13,36,18,304,72,36,2.57,21,5,4,4,1,1,7,0.50,2,0,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,BundesLiga,2025
9,Alexander Meyer,DE,GK,-,Dortmund,33.0,1991.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,180.0,4.0,2.0,11.0,7.0,63.6,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.6,0,0.0,0.0,0.0,4.0,0.36,0.0,0.0,8.0,33,7,24.2,76.0,3.0,35.5,85.7,34.8,63.6,33,7,35.5,85.7,34.8,63.6,24.0,1.0,4.2,2.0,1.0,14.8,BundesLiga,2025
