,Player,Nation,Main_Pos,Sec_Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G+A,G+A,G-PK,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Gls,Ast,Ast,G+A,G+A,G-PK,G-PK,G+A-PK,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Total Tackels,TklW,Def 3rd,Mid 3rd,Att 3rd,Dribblers_Tackeld,Dribblers_Tackel_Att,Dribblers_Tackel%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches,Touches_Def_Pen_Area,Touches_Def_3rd_Area,Touches_Mid_3rd_Area,Touches_Att_3rd_Area,Touches_Att_Pen_Area,Live_Touches_in_Game,Dribbling_Att,Dribbling_Succ,Dribbling_Succ%,Tackeld_Dribbling,Tackeld_Dribbling%,Total_Carry_Distance,Total_Progressive_Carry_Distance,Total_Carries_in_1/3,Total_Carries_in_Penalty_Area,Miscontrols_Carries,Dispossed_Carries,Passes_Received,Progressive_Passes_Received,Shot_Creating_Action,Shot_Creating_Action_90,Live_Passes_lead_Shot_Att,Dead_Passes_lead_Shot_Att,Shot_Att_after_Dribbling,Shot_lead_to_Shot_Att,Foul_drawn_lead_Shot_Att,Def_Action_lead_Shot_Att,GCA,GCA90,Live_Pass_lead_Goal,Dead_Pass_lead_Goal,Goal_after_Dribbling,Shot_lead_Goal,Foul_drawn_lead_Goal,Def_Action_lead_Goal,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Save%,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Att,Cmp%,Att (GK),Thr,Launch%,Launch%,AvgLen,AvgLen,Att,Att,Launch%,Launch%,AvgLen,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,Year
0,Aaron Cresswell,ENG,DF,DF,West Ham,34.0,1989.0,18,10,824,9.2,0,0.00,0,0.00,0,0.00,0,0.00,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.17,0.03,0.17,11,7,5,5,1,9,11,81.8,2,9,4,5,8,19,37,0,504,610,82.6,9299,3625,229,249,92.0,212,241,88.0,58,107,54.2,0,1.3,1.9,-1.3,9,52,5,2,36,687,45,270,328,94,2,687,2,1,50.0,1,50.0,1102,526,8,0,4,0,437,4,15,1.64,7,8,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
1,Aaron Ramsdale,ENG,GK,-,Southampton,26.0,1998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,30.0,2700.0,66.0,2.2,188.0,120.0,67.6,28.6,2.0,5.0,23.0,3.0,10.0,7.0,5.0,2.0,0.0,67.6,28.6,0.0,10.0,0.0,63.5,0.32,-2.5,-0.08,196.0,605,190,32.4,1026.0,129.0,44.6,77.4,36.0,55.9,605,190,44.6,77.4,36.0,55.9,457.0,25.0,5.5,20.0,0.67,11.7,Premier League,2025
2,Aaron Ramsdale,ENG,GK,GK,Southampton,26.0,1998.0,30,30,2700,30.0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,3,0.0,3,0,0,0,2,2,10,3,774,1223,63.3,21949,16992,209,210,99.5,302,313,96.5,257,686,37.5,0,0.0,0.1,0.0,0,36,1,0,0,1314,946,1286,32,0,0,1314,0,0,0,0,0,4017,2349,0,0,3,0,702,0,3,0.10,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
3,Aaron Wan-Bissaka,ENG,DF,DF,West Ham,26.0,1997.0,36,35,3154,35.0,2,0.06,5,0.14,7,0.20,2,0.06,0,0,1,0,1.2,1.2,3.5,4.7,110,149,167,2,0.06,5,0.14,7,0.20,2,0.06,0.20,0.06,0.14,0.20,0.06,0.20,0.03,0.10,0.14,0.03,0.14,70,49,33,32,5,23,32,71.9,9,37,11,26,66,136,125,0,1472,1815,81.1,20696,7523,953,1056,90.2,449,550,81.6,48,105,45.7,5,3.5,2.8,+1.5,33,94,35,11,149,2256,147,682,969,637,48,2256,122,64,52.5,43,35.2,6700,3661,65,15,35,22,1322,167,93,2.65,75,4,7,3,2,2,10,0.29,9,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
4,Abdoulaye Doucouré,ML,MF,MF,Everton,31.0,1993.0,33,31,2564,28.5,3,0.11,2,0.07,5,0.18,3,0.11,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,3,0.11,2,0.07,5,0.18,3,0.11,0.18,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,48,28,21,20,7,14,43,32.6,29,31,6,25,10,58,20,1,725,903,80.3,10909,2254,382,446,85.7,263,316,83.2,44,60,73.3,2,2.4,1.4,-0.4,28,44,15,0,82,1161,32,225,538,413,65,1161,45,24,53.3,21,46.7,2952,1396,26,8,38,38,750,96,58,2.04,52,0,3,2,0,1,3,0.11,2,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
5,Abdukodir Khusanov,UZ,DF,DF,Manchester City,20.0,2004.0,6,6,503,5.6,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,5,4,4,1,0,2,3,66.7,1,5,4,1,3,8,29,1,360,395,91.1,6126,1976,160,169,94.7,191,197,97.0,6,23,26.1,0,0.1,0.1,-0.1,2,23,0,0,25,445,45,205,211,31,1,445,2,0,0.0,2,100.0,1155,435,1,0,2,1,332,2,5,0.89,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
6,Abdul Fatawu Issahaku,GH,FW,FW,Leicester City,20.0,2004.0,11,6,579,6.4,0,0.00,2,0.31,2,0.31,0,0.00,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0,0.00,2,0.31,2,0.31,0,0.00,0.31,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,21,15,13,2,6,11,19,57.9,8,7,0,7,4,25,12,0,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,+0.4,6,7,7,2,17,326,19,73,114,157,26,326,69,29,42.0,28,40.6,1869,1055,24,15,18,12,216,60,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
7,Adam Armstrong,ENG,FW,MF,Southampton,27.0,1997.0,20,15,1248,13.9,2,0.14,2,0.14,4,0.29,2,0.14,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,2,0.14,2,0.14,4,0.29,2,0.14,0.29,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,+0.8,9,10,8,2,21,377,11,44,143,192,49,376,14,6,42.9,8,57.1,1324,599,13,6,11,18,286,79,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
8,Adam Lallana,ENG,MF,MF,Southampton,36.0,1988.0,14,5,361,4.0,0,0.00,2,0.50,2,0.50,0,0.00,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0,0.00,2,0.50,2,0.50,0,0.00,0.50,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,8,5,4,4,0,2,12,16.7,10,4,1,3,5,13,5,0,221,260,85.0,2891,980,147,165,89.1,61,67,91.0,4,9,44.4,2,0.9,0.5,+1.1,4,21,9,3,24,318,19,91,155,73,6,318,12,5,41.7,5,41.7,831,366,8,0,10,6,245,10,9,2.24,8,0,0,0,1,0,2,0.50,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
9,Adam Smith,ENG,DF,DF,Bournemouth,33.0,1991.0,25,19,1590,17.7,0,0.00,0,0.00,0,0.00,0,0.00,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,24,12,11,7,6,14,27,51.9,13,13,5,8,15,39,49,1,514,679,75.7,8452,2723,244,275,88.7,222,279,79.6,32,89,36.0,0,0.4,0.7,-0.4,8,49,10,5,49,825,41,240,394,197,8,825,16,6,37.5,7,43.8,1552,711,18,1,13,7,403,34,23,1.30,17,1,1,0,3,1,2,0.11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
10,Adam Webster,ENG,DF,DF,Brighton,29.0,1995.0,14,11,887,9.9,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1,0,0.2,0.2,0.5,0.7,8,63,2,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,10,6,5,4,1,6,14,42.9,8,16,9,7,20,30,41,2,636,725,87.7,11765,4541,242,257,94.2,333,354,94.1,53,97,54.6,0,0.5,0.3,-0.5,3,64,2,0,63,824,119,389,399,43,15,824,3,1,33.3,2,66.7,2600,1475,6,0,5,1,552,2,14,1.42,10,2,0,2,0,0,4,0.41,2,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
11,Adam Wharton,ENG,MF,MF,Crystal Palace,20.0,2004.0,20,16,1318,14.6,0,0.00,2,0.14,2,0.14,0,0.00,0,0,2,0,0.4,0.4,3.0,3.4,14,107,11,0,0.00,2,0.14,2,0.14,0,0.00,0.14,0.00,0.14,0.14,0.00,0.14,0.03,0.21,0.23,0.03,0.23,34,14,14,16,4,17,44,38.6,27,11,2,9,20,54,27,0,548,725,75.6,10271,3780,208,252,82.5,258,322,80.1,70,107,65.4,2,3.0,2.2,-1.0,26,78,18,5,107,872,30,204,463,212,11,872,10,2,20.0,8,80.0,2014,1078,23,2,17,13,533,11,59,4.03,45,11,0,2,0,1,6,0.41,4,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
12,Adama Traoré,ES,FW,MF,Fulham,28.0,1996.0,36,18,1772,19.7,2,0.10,7,0.36,9,0.46,2,0.10,0,0,3,0,4.0,4.0,4.9,8.9,100,68,161,2,0.10,7,0.36,9,0.46,2,0.10,0.46,0.10,0.36,0.46,0.10,0.46,0.20,0.25,0.45,0.20,0.45,20,13,9,6,5,5,13,38.5,8,7,0,7,1,21,6,4,424,587,72.2,6645,1683,236,286,82.5,143,194,73.7,30,54,55.6,7,4.9,4.5,+2.1,42,36,38,22,68,801,4,83,285,455,91,801,97,48,49.5,36,37.1,4631,2486,45,33,37,25,607,161,82,4.16,66,0,9,4,1,2,10,0.51,9,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
13,Albert Grønbaek,DK,FW,MF,Southampton,23.0,2001.0,4,2,143,1.6,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,4,1,1,1,2,3,10,30.0,7,1,1,0,0,4,1,0,13,18,72.2,135,43,9,11,81.8,2,4,50.0,0,0,0,0,0.0,0.0,0.0,1,2,0,0,1,38,2,9,14,15,2,38,4,0,0.0,4,100.0,79,15,0,1,5,4,21,3,2,1.26,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Premier League,2025
