,Player,Nation,Main_Pos,Sec_Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G+A,G+A,G-PK,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Gls,Ast,Ast,G+A,G+A,G-PK,G-PK,G+A-PK,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Total Tackels,TklW,Def 3rd,Mid 3rd,Att 3rd,Dribblers_Tackeld,Dribblers_Tackel_Att,Dribblers_Tackel%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches,Touches_Def_Pen_Area,Touches_Def_3rd_Area,Touches_Mid_3rd_Area,Touches_Att_3rd_Area,Touches_Att_Pen_Area,Live_Touches_in_Game,Dribbling_Att,Dribbling_Succ,Dribbling_Succ%,Tackeld_Dribbling,Tackeld_Dribbling%,Total_Carry_Distance,Total_Progressive_Carry_Distance,Total_Carries_in_1/3,Total_Carries_in_Penalty_Area,Miscontrols_Carries,Dispossed_Carries,Passes_Received,Progressive_Passes_Received,Shot_Creating_Action,Shot_Creating_Action_90,Live_Passes_lead_Shot_Att,Dead_Passes_lead_Shot_Att,Shot_Att_after_Dribbling,Shot_lead_to_Shot_Att,Foul_drawn_lead_Shot_Att,Def_Action_lead_Shot_Att,GCA,GCA90,Live_Pass_lead_Goal,Dead_Pass_lead_Goal,Goal_after_Dribbling,Shot_lead_Goal,Foul_drawn_lead_Goal,Def_Action_lead_Goal,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Save%,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Att,Cmp%,Att (GK),Thr,Launch%,Launch%,AvgLen,AvgLen,Att,Att,Launch%,Launch%,AvgLen,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,Year
0,Aaron Ciammaglichella,IT,MF,MF,Torino,19.0,2005.0,1,0,1,0.0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
1,Aarón Martín,ES,DF,DF,Genoa,27.0,1997.0,36,35,3085,34.3,0,0.00,8,0.23,8,0.23,0,0.00,0,0,5,0,0.9,0.9,5.5,6.4,50,90,108,0,0.00,8,0.23,8,0.23,0,0.00,0.23,0.00,0.23,0.23,0.00,0.23,0.03,0.16,0.19,0.03,0.19,71,47,41,26,4,33,51,64.7,18,33,11,22,19,90,73,1,1221,1685,72.5,23065,8738,485,544,89.2,557,708,78.7,160,368,43.5,8,5.5,6.1,+2.5,65,77,30,21,90,1951,87,566,802,608,20,1951,27,12,44.4,12,44.4,4829,2293,31,4,22,17,1039,108,95,2.77,42,48,2,1,2,0,13,0.38,8,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
2,Abdou Harroui,NL,MF,FW,Hellas Verona,26.0,1998.0,10,5,463,5.1,1,0.19,2,0.39,3,0.58,1,0.19,0,0,1,0,2.2,2.2,0.4,2.6,23,21,34,1,0.19,2,0.39,3,0.58,1,0.19,0.58,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,9,6,6,3,0,4,4,100.0,0,5,0,5,2,11,5,0,160,202,79.2,2324,580,96,106,90.6,54,69,78.3,6,15,40.0,2,0.4,0.6,+1.6,4,16,3,2,21,283,5,41,144,105,17,283,20,6,30.0,13,65.0,1241,631,20,4,12,10,203,34,15,2.92,13,0,2,0,0,0,3,0.58,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
3,Adam Marušić,ME,DF,DF,Lazio,31.0,1992.0,35,26,2337,26.0,4,0.15,0,0.00,4,0.15,4,0.15,0,0,1,0,2.0,2.0,0.6,2.6,23,84,108,4,0.15,0,0.00,4,0.15,4,0.15,0.15,0.15,0.00,0.15,0.15,0.15,0.08,0.02,0.10,0.08,0.10,32,20,18,12,2,18,30,60.0,12,18,8,10,16,48,61,0,1053,1240,84.9,16214,5156,556,603,92.2,414,479,86.4,56,109,51.4,0,0.6,0.6,-0.6,13,72,16,9,84,1433,76,410,697,341,31,1433,23,10,43.5,12,52.2,2521,1263,27,0,12,13,926,108,33,1.27,25,2,0,5,0,1,3,0.12,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
4,Adam Masina,MA,DF,DF,Torino,30.0,1994.0,28,20,1919,21.3,1,0.05,2,0.09,3,0.14,1,0.05,0,0,5,0,0.7,0.7,0.3,1.0,15,73,10,1,0.05,2,0.09,3,0.14,1,0.05,0.14,0.05,0.09,0.14,0.05,0.14,0.03,0.01,0.05,0.03,0.05,33,15,22,10,1,23,40,57.5,17,28,15,13,27,60,95,2,1066,1267,84.1,19972,7055,392,428,91.6,559,630,88.7,106,185,57.3,2,0.3,0.7,+1.7,4,72,6,2,73,1502,187,660,768,80,12,1502,12,6,50.0,6,50.0,3907,2121,9,1,12,8,971,10,21,0.98,17,0,2,0,1,1,4,0.19,2,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
5,Adam Obert,SK,DF,DF,Cagliari,21.0,2002.0,21,13,1077,12.0,1,0.08,1,0.08,2,0.17,1,0.08,0,0,4,0,0.9,0.9,0.4,1.3,12,50,19,1,0.08,1,0.08,2,0.17,1,0.08,0.17,0.08,0.08,0.17,0.08,0.17,0.07,0.03,0.11,0.07,0.11,31,18,12,17,2,16,27,59.3,11,19,7,12,23,54,48,2,413,537,76.9,6894,2626,200,226,88.5,178,209,85.2,28,67,41.8,1,0.4,0.2,+0.6,10,36,4,1,50,710,67,309,312,105,13,710,14,5,35.7,9,64.3,1488,797,9,0,26,7,330,19,25,2.09,19,3,0,2,1,0,4,0.33,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
6,Ademola Lookman,NG,MF,FW,Atalanta,26.0,1997.0,31,28,2247,25.0,15,0.60,5,0.20,20,0.80,14,0.56,1,1,4,0,10.3,9.5,7.1,16.7,142,73,316,15,0.60,5,0.20,20,0.80,14,0.56,0.76,0.60,0.20,0.80,0.56,0.76,0.41,0.29,0.70,0.38,0.67,32,15,9,15,8,11,19,57.9,8,19,0,19,3,35,5,1,684,944,72.5,9662,2659,436,502,86.9,178,256,69.5,42,96,43.8,5,7.1,7.9,-2.1,61,29,43,13,73,1274,1,68,400,824,199,1273,104,37,35.6,64,61.5,5454,3170,70,81,72,51,974,316,135,5.41,75,25,17,15,2,1,15,0.60,10,0,3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
7,Adrian Benedyczak,PL,FW,MF,Parma,23.0,2000.0,9,2,214,2.4,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0.3,0.3,0.1,0.3,3,3,12,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,8,0,35,52,67.3,577,144,18,27,66.7,10,15,66.7,4,6,66.7,0,0.1,0.0,-0.1,2,2,0,0,3,79,7,17,35,27,4,79,2,0,0.0,2,100.0,176,80,2,0,5,3,60,12,3,1.26,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
8,Adrian Bernabe,ES,MF,MF,Parma,23.0,2001.0,21,18,1453,16.1,1,0.06,1,0.06,2,0.12,1,0.06,0,0,1,0,1.3,1.3,1.1,2.4,37,115,20,1,0.06,1,0.06,2,0.12,1,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.08,0.07,0.15,0.08,0.15,29,18,16,9,4,14,32,43.8,18,22,9,13,7,36,26,1,823,984,83.6,15635,5378,331,364,90.9,362,410,88.3,113,171,66.1,1,1.1,1.5,-0.1,22,103,17,4,115,1140,40,253,655,247,8,1140,33,15,45.5,13,39.4,3703,2220,39,3,12,14,818,20,58,3.59,45,6,1,2,4,0,4,0.25,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
9,Adrien Tameze,CM,MF,DF,Torino,30.0,1994.0,20,9,649,7.2,0,0.00,0,0.00,0,0.00,0,0.00,0,0,3,0,0.4,0.4,0.8,1.2,16,23,21,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.17,0.05,0.17,5,2,2,3,0,1,10,10.0,9,8,5,3,10,15,8,1,259,301,86.0,4112,904,124,144,86.1,112,121,92.6,14,19,73.7,0,0.8,0.7,-0.8,6,10,6,1,23,368,15,89,180,99,13,368,15,4,26.7,8,53.3,1291,611,9,0,10,3,257,21,8,1.11,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
