Player,BirthYear,transfermarkt_player_id,rumor_count,rumor_prob_max,rumor_prob_mean,rumor_first,rumor_last,leagues_mentioned
Aaron Connolly,2000.0,,,,,,,
Aaron Hickey,2002.0,,,,,,,
Aaron Leya Iseka,1997.0,,,,,,,
Aaron Mooy,1990.0,,,,,,,
Aaron Ramsdale,1998.0,,,,,,,
Aaron Ramsey,1990.0,,,,,,,
Aaron Wan-Bissaka,1997.0,,,,,,,
Aarón Martín,1997.0,,,,,,,
Abdallah Sima,2001.0,,,,,,,
Abde Ezzalzouli,2001.0,,,,,,,
Abdelhamid Sabiri,1996.0,,,,,,,
Abdou Diallo,1996.0,,,,,,,
Abdou Harroui,1998.0,,,,,,,
Abdoulaye Doucouré,1993.0,,,,,,,
Abdoulaye Touré,1994.0,,,,,,,
Abdukodir Khusanov,2004.0,,,,,,,
Abner,2000.0,,,,,,,
Achraf Hakimi,1998.0,,,,,,,
Adam Lallana,1988.0,,,,,,,
Adam Masina,1994.0,,,,,,,
Adam Ounas,1996.0,,,,,,,
Adama Diakhaby,1996.0,,,,,,,
Adama Soumaoro,1992.0,,,,,,,
Adama Traoré,1996.0,,,,,,,
Adama Traoré,1995.0,,,,,,,
Ademola Lookman,1997.0,,,,,,,
Adil Aouchiche,2002.0,,,,,,,
Adil Rami,1985.0,,,,,,,
Adnan Januzaj,1995.0,,,,,,,
Adrien Rabiot,1995.0,,,,,,,
Adrien Silva,1989.0,,,,,,,
Adrien Thomasson,1993.0,,,,,,,
Adrià Pedrosa,1998.0,,,,,,,
Afriyie Acquah,1992.0,,,,,,,
Agustín Álvarez,2001.0,,,,,,,
Ahmed Kutucu,2000.0,,,,,,,
Ainsley Maitland-Niles,1997.0,,,,,,,
Aitor Fernández,1991.0,,,,,,,
Akim Zedadka,1995.0,,,,,,,
Alan Virginius,2003.0,,,,,,,
Alassane Pléa,1993.0,,,,,,,
Alban Lafont,1999.0,,,,,,,
Albert Sambi Lokonga,1999.0,,,,,,,
Alberto Dossena,1998.0,,,,,,,
Alberto Grassi,1995.0,,,,,,,
Alberto Moreno,1992.0,,,,,,,
Alberto Paleari,1992.0,,,,,,,
Albin Ekdal,1989.0,,,,,,,
Aleix García,1997.0,,,,,,,
Aleix Vidal,1989.0,,,,,,,
Aleksandar Kolarov,1985.0,,,,,,,
Alessandro Bastoni,1999.0,,,,,,,
Alessandro Buongiorno,1999.0,,,,,,,
Alessandro Florenzi,1991.0,,,,,,,
Alessandro Murgia,1996.0,,,,,,,
Alessandro Schöpf,1994.0,,,,,,,
Alessandro Tripaldelli,1999.0,,,,,,,
Alessandro Zanoli,2000.0,,,,,,,
Alessio Cragno,1994.0,,,,,,,
Alessio Romagnoli,1995.0,,,,,,,
Alessio Zerbin,1999.0,,,,,,,
Alessio da Cruz,1997.0,,,,,,,
Alex Ferrari,1994.0,,,,,,,
Alex Iwobi,1996.0,,,,,,,
Alex Král,1998.0,,,,,,,
Alex Meret,1997.0,,,,,,,
Alex Oxlade-Chamberlain,1993.0,,,,,,,
Alex Telles,1992.0,,,,,,,
Alexander Djiku,1994.0,,,,,,,
Alexander Hack,1993.0,,,,,,,
Alexander Nübel,1996.0,,,,,,,
Alexander Schwolow,1992.0,,,,,,,
Alexander Sørloth,1995.0,,,,,,,
Alexandre Lacazette,1991.0,,,,,,,
Alexandre Mendy,1994.0,,,,,,,
Alexandru Maxim,1990.0,,,,,,,
Alexis Blin,1996.0,,,,,,,
Alexis Claude-Maurice,1998.0,,,,,,,
Alexis Flips,2000.0,,,,,,,
Alexis Mac Allister,1998.0,,,,,,,
Alexis Saelemaekers,1999.0,,,,,,,
Alexis Sánchez,1988.0,,,,,,,
Alexis Tibidi,2003.0,,,,,,,
Alexis Trouillet,2000.0,,,,,,,
Alfie Gilchrist,2003.0,,,,,,,
Alfie Mawson,1994.0,,,,,,,
Alfonso Espino,1992.0,,,,,,,
Alfred Duncan,1993.0,,,,,,,
Alfred Gomis,1993.0,,,,,,,
Alfred N'Diaye,1990.0,,,,,,,
Alireza Jahanbakhsh,1993.0,,,,,,,
Alisson,1992.0,,,,,,,
Allan,1997.0,,,,,,,
Allan,1991.0,,,,,,,
Allan Nyom,1988.0,,,,,,,
Allan Saint-Maximin,1997.0,,,,,,,
Alphonse Areola,1993.0,,,,,,,
Amadou Diawara,1997.0,,,,,,,
Amadou Onana,2001.0,,,,,,,
Amato Ciciretti,1993.0,,,,,,,
Ameen Al-Dakhil,2002.0,,,,,,,
Amin Sarr,2001.0,,,,,,,
Amin Younes,1993.0,,,,,,,
Amine Gouiri,2000.0,,,,,,,
Amine Harit,1997.0,,,,,,,
Amine Salama,2000.0,,,,,,,
Amir Richardson,2002.0,,,,,,,
Amos Pieper,1998.0,,,,,,,
Anass Zaroury,2000.0,,,,,,,
Anastasios Donis,1996.0,,,,,,,
Ander Capa,1992.0,,,,,,,
Ander Guevara,1997.0,,,,,,,
Ander Herrera,1989.0,,,,,,,
Ander Iturraspe,1989.0,,,,,,,
Andi Zeqiri,1999.0,,,,,,,
Andoni Gorosabel,1996.0,,,,,,,
Andrea Belotti,1993.0,,,,,,,
Andrea Cambiaso,2000.0,,,,,,,
Andrea Carboni,2001.0,,,,,,,
Andrea Colpani,1999.0,,,,,,,
Andrea Conti,1994.0,,,,,,,
Andrea Favilli,1997.0,,,,,,,
Andrea Petagna,1995.0,,,,,,,
Andrea Pinamonti,1999.0,,,,,,,
Andreas Christensen,1996.0,,,,,,,
Andreas Cornelius,1993.0,,,,,,,
Andreas Pereira,1996.0,,,,,,,
Andreas Voglsammer,1992.0,,,,,,,
Andrei Girotto,1992.0,,,,,,,
Andriy Yarmolenko,1989.0,,,,,,,
Andros Townsend,1991.0,,,,,,,
André Gomes,1993.0,,,,,,,
André Hahn,1990.0,,,,,,,
André Onana,1996.0,,,,,,,
André Schürrle,1990.0,,,,,,,
André Silva,1995.0,,,,,,,
Andrés Iniesta,1984.0,,,,,,,
Andy Carroll,1989.0,,,,,,,
Andy Delort,1991.0,,,,,,,
Andy King,1988.0,,,,,,,
Andy Pelmard,2000.0,,,,,,,
Angeliño,1997.0,,,,,,,
Angelo Fulgini,1996.0,,,,,,,
Angus Gunn,1996.0,,,,,,,
Ansgar Knauff,2002.0,,,,,,,
Ansu Fati,2002.0,,,,,,,
Ante Budimir,1991.0,,,,,,,
Ante Rebić,1993.0,,,,,,,
Anthony Caci,1997.0,,,,,,,
Anthony Elanga,2002.0,,,,,,,
Anthony Gordon,2001.0,,,,,,,
Anthony Knockaert,1991.0,,,,,,,
Anthony Limbombe,1994.0,,,,,,,
Anthony Martial,1995.0,,,,,,,
Anthony Modeste,1988.0,,,,,,,
Anthony Rouault,2001.0,,,,,,,
Anthony Ujah,1990.0,,,,,,,
Antoine Griezmann,1991.0,,,,,,,
Antoine Joujou,2003.0,,,,,,,
Antonin Bobichon,1995.0,,,,,,,
Antonino La Gumina,1996.0,,,,,,,
Antonino Ragusa,1990.0,,,,,,,
Antonio Adán,1987.0,,,,,,,
Antonio Barragán,1987.0,,,,,,,
Antonio Barreca,1995.0,,,,,,,
Antonio Blanco,2000.0,,,,,,,
Antonio Candreva,1987.0,,,,,,,
Antonio Mirante,1983.0,,,,,,,
Antonio Rüdiger,1993.0,,,,,,,
Antonio Sanabria,1996.0,,,,,,,
Antonio Valencia,1985.0,,,,,,,
Antony,2000.0,,,,,,,
Antonín Barák,1994.0,,,,,,,
Anwar El Ghazi,1995.0,,,,,,,
Arkadiusz Milik,1994.0,,,,,,,
Arkadiusz Reca,1995.0,,,,,,,
Armando Broja,2001.0,,,,,,,
Armando Izzo,1992.0,,,,,,,
Arnaud Kalimuendo,2002.0,,,,,,,
Arnaud Nordin,1998.0,,,,,,,
Arnaud Souquet,1992.0,,,,,,,
Arnaut Danjuma,1997.0,,,,,,,
Arne Engels,2003.0,,,,,,,
Arne Maier,1999.0,,,,,,,
Artem Dovbyk,1997.0,,,,,,,
Arthur Cabral,1998.0,,,,,,,
Arthur Masuaku,1993.0,,,,,,,
Arthur Melo,1996.0,,,,,,,
Arthur Theate,2000.0,,,,,,,
Arthur Vermeeren,2005.0,,,,,,,
