Player,BirthYear,transfermarkt_player_id
Aaron Connolly,2000,
Aaron Hickey,2002,
Aaron Leya Iseka,1997,
Aaron Mooy,1990,
Aaron Ramsdale,1998,
Aaron Ramsey,1990,
Aaron Wan-Bissaka,1997,
Aarón Martín,1997,
Abdallah Sima,2001,
Abde Ezzalzouli,2001,
Abdelhamid Sabiri,1996,
Abdou Diallo,1996,
Abdou Harroui,1998,
Abdoulaye Doucouré,1993,
Abdoulaye Touré,1994,
Abdukodir Khusanov,2004,
Abner,2000,
Achraf Hakimi,1998,
Adam Lallana,1988,
Adam Masina,1994,
Adam Ounas,1996,
Adama Diakhaby,1996,
Adama Soumaoro,1992,
Adama Traoré,1996,
Adama Traoré,1995,
Ademola Lookman,1997,
Adil Aouchiche,2002,
Adil Rami,1985,
Adnan Januzaj,1995,
Adrien Rabiot,1995,
Adrien Silva,1989,
Adrien Thomasson,1993,
Adrià Pedrosa,1998,
Afriyie Acquah,1992,
Agustín Álvarez,2001,
Ahmed Kutucu,2000,
Ainsley Maitland-Niles,1997,
Aitor Fernández,1991,
Akim Zedadka,1995,
Alan Virginius,2003,
Alassane Pléa,1993,
Alban Lafont,1999,
Albert Sambi Lokonga,1999,
Alberto Dossena,1998,
Alberto Grassi,1995,
Alberto Moreno,1992,
Alberto Paleari,1992,
Albin Ekdal,1989,
Aleix García,1997,
Aleix Vidal,1989,
Aleksandar Kolarov,1985,
Alessandro Bastoni,1999,
Alessandro Buongiorno,1999,
Alessandro Florenzi,1991,
Alessandro Murgia,1996,
Alessandro Schöpf,1994,
Alessandro Tripaldelli,1999,
Alessandro Zanoli,2000,
Alessio Cragno,1994,
Alessio Romagnoli,1995,
Alessio Zerbin,1999,
Alessio da Cruz,1997,
Alex Ferrari,1994,
Alex Iwobi,1996,
Alex Král,1998,
Alex Meret,1997,
Alex Oxlade-Chamberlain,1993,
Alex Telles,1992,
Alexander Djiku,1994,
Alexander Hack,1993,
Alexander Nübel,1996,
Alexander Schwolow,1992,
Alexander Sørloth,1995,
Alexandre Lacazette,1991,
Alexandre Mendy,1994,
Alexandru Maxim,1990,
Alexis Blin,1996,
Alexis Claude-Maurice,1998,
Alexis Flips,2000,
Alexis Mac Allister,1998,
Alexis Saelemaekers,1999,
Alexis Sánchez,1988,
Alexis Tibidi,2003,
Alexis Trouillet,2000,
Alfie Gilchrist,2003,
Alfie Mawson,1994,
Alfonso Espino,1992,
Alfred Duncan,1993,
Alfred Gomis,1993,
Alfred N'Diaye,1990,
Alireza Jahanbakhsh,1993,
Alisson,1992,
Allan,1997,
Allan,1991,
Allan Nyom,1988,
Allan Saint-Maximin,1997,
Alphonse Areola,1993,
Amadou Diawara,1997,
Amadou Onana,2001,
Amato Ciciretti,1993,
Ameen Al-Dakhil,2002,
Amin Sarr,2001,
Amin Younes,1993,
Amine Gouiri,2000,
Amine Harit,1997,
Amine Salama,2000,
Amir Richardson,2002,
Amos Pieper,1998,
Anass Zaroury,2000,
Anastasios Donis,1996,
Ander Capa,1992,
Ander Guevara,1997,
Ander Herrera,1989,
Ander Iturraspe,1989,
Andi Zeqiri,1999,
Andoni Gorosabel,1996,
Andrea Belotti,1993,
Andrea Cambiaso,2000,
Andrea Carboni,2001,
Andrea Colpani,1999,
Andrea Conti,1994,
Andrea Favilli,1997,
Andrea Petagna,1995,
Andrea Pinamonti,1999,
Andreas Christensen,1996,
Andreas Cornelius,1993,
Andreas Pereira,1996,
Andreas Voglsammer,1992,
Andrei Girotto,1992,
Andriy Yarmolenko,1989,
Andros Townsend,1991,
André Gomes,1993,
André Hahn,1990,
André Onana,1996,
André Schürrle,1990,
André Silva,1995,
Andrés Iniesta,1984,
Andy Carroll,1989,
Andy Delort,1991,
Andy King,1988,
Andy Pelmard,2000,
Angeliño,1997,
Angelo Fulgini,1996,
Angus Gunn,1996,
Ansgar Knauff,2002,
Ansu Fati,2002,
Ante Budimir,1991,
Ante Rebić,1993,
Anthony Caci,1997,
Anthony Elanga,2002,
Anthony Gordon,2001,
Anthony Knockaert,1991,
Anthony Limbombe,1994,
Anthony Martial,1995,
Anthony Modeste,1988,
Anthony Rouault,2001,
Anthony Ujah,1990,
Antoine Griezmann,1991,
Antoine Joujou,2003,
Antonin Bobichon,1995,
Antonino La Gumina,1996,
Antonino Ragusa,1990,
Antonio Adán,1987,
Antonio Barragán,1987,
Antonio Barreca,1995,
Antonio Blanco,2000,
Antonio Candreva,1987,
Antonio Mirante,1983,
Antonio Rüdiger,1993,
Antonio Sanabria,1996,
Antonio Valencia,1985,
Antony,2000,
Antonín Barák,1994,
Anwar El Ghazi,1995,
Arkadiusz Milik,1994,
Arkadiusz Reca,1995,
Armando Broja,2001,
Armando Izzo,1992,
Arnaud Kalimuendo,2002,
Arnaud Nordin,1998,
Arnaud Souquet,1992,
Arnaut Danjuma,1997,
Arne Engels,2003,
Arne Maier,1999,
Artem Dovbyk,1997,
Arthur Cabral,1998,
Arthur Masuaku,1993,
Arthur Melo,1996,
Arthur Theate,2000,
Arthur Vermeeren,2005,
Artur Ioniță,1990,
Arturo Calabresi,1996,
Arturo Vidal,1987,
Ashley Williams,1984,
Asier Villalibre,1997,
Assan Ceesay,1994,
Assane Dioussé,1997,
Augusto Batalla,1996,
Aurélien Tchouaméni,2000,
Aurélio Buta,1997,
Axel Disasi,1998,
Axel Tuanzebe,1997,
Axel Witsel,1989,
Aymen Barkok,1998,
Ayoze Pérez,1993,
Azor Matusiwa,1998,
Azzedine Ounahi,2000,
Aïssa Laïdouni,1996,
Aïssa Mandi,1991,
Bakary Sako,1988,
Bamba Dieng,2000,
Bamo Meïté,2001,
Baptiste Guillaume,1995,
Baptiste Reynet,1990,
Baptiste Santamaria,1995,
Bartosz Kapustka,1996,
Ben Chilwell,1996,
Ben Doak,2005,
Ben Foster,1983,
Ben Godfrey,1998,
Ben Johnson,2000,
Ben Mee,1989,
Ben Pearson,1995,
Ben White,1997,
Beni Baningime,1998,
Benik Afobe,1993,
Benito Raman,1994,
Benjamin André,1990,
Benjamin Bourigeaud,1994,
Benjamin Henrichs,1997,
Benjamin Jeannot,1992,
Benjamin Lecomte,1991,
Benjamin Pavard,1996,
Berkay Özcan,1998,
Bernard,1992,
Bernard Tekpetey,1997,
Bernardo,1995,
Bernardo Espinosa,1989,
Bernd Leno,1992,
Bertrand Traoré,1995,
Bertuğ Yıldırım,2002,
Beto,1998,
Billy Gilmour,2001,
Billy Ketkeophomphone,1990,
Birger Meling,1994,
Birger Verstraete,1994,
Björn Engels,1994,
Blaise Matuidi,1987,
Bobby Clark,2005,
Bobby De Cordova-Reid,1993,
Bobby Wood,1992,
Borja Bastón,1992,
Borja Iglesias,1993,
Borja Mayoral,1997,
Borja Sainz,2001,
Borja Valero,1985,
Borna Sosa,1998,
Bosko Sutalo,2000,
Boubacar Kamara,1999,
Boubacar Traoré,2001,
Boubakary Soumaré,1999,
Boulaye Dia,1996,
Bradley Barcola,2002,
Bradley Locko,2002,
Brahim Díaz,1999,
Brais Méndez,1997,
Brajan Gruda,2004,
Branco van den Boomen,1995,
Brandon Soppy,2002,
Brandon Williams,2000,
Breel Embolo,1997,
Brenden Aaronson,2000,
Brian Brobbey,2002,
Brian Oliván,1994,
Brice Samba,1994,
Bruma,1994,
